subject,predicate,object,src_url
13,오타율,0.6667,https://ko.wikipedia.org/wiki/%EB%AC%B8%EC%96%B4_(%EC%96%B8%EC%96%B4)
13,수동태사용,0,https://ko.wikipedia.org/wiki/%EB%AC%B8%EC%96%B4_(%EC%96%B8%EC%96%B4)
13,정중체사용,0,https://ko.wikipedia.org/wiki/%EB%AC%B8%EC%96%B4_(%EC%96%B8%EC%96%B4)
13,구어체종결어미,0,https://ko.wikipedia.org/wiki/%EB%AC%B8%EC%96%B4_(%EC%96%B8%EC%96%B4)
13,접속사과다,0,https://ko.wikipedia.org/wiki/%EB%AC%B8%EC%96%B4_(%EC%96%B8%EC%96%B4)
13,의문문사용,0,https://ko.wikipedia.org/wiki/%EB%AC%B8%EC%96%B4_(%EC%96%B8%EC%96%B4)
13,감탄문사용,0,https://ko.wikipedia.org/wiki/%EB%AC%B8%EC%96%B4_(%EC%96%B8%EC%96%B4)
13,POS3gram,PROPN-ADV-VERB:1,https://ko.wikipedia.org/wiki/%EB%AC%B8%EC%96%B4_(%EC%96%B8%EC%96%B4)
13,의존트리깊이,0.0,https://ko.wikipedia.org/wiki/%EB%AC%B8%EC%96%B4_(%EC%96%B8%EC%96%B4)
14,어휘다양성,0.9375,https://ko.wikipedia.org/wiki/%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%86%8D%EC%96%B4
14,오타율,0.875,https://ko.wikipedia.org/wiki/%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%86%8D%EC%96%B4
14,수동태사용,0,https://ko.wikipedia.org/wiki/%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%86%8D%EC%96%B4
14,정중체사용,0,https://ko.wikipedia.org/wiki/%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%86%8D%EC%96%B4
14,구어체종결어미,0,https://ko.wikipedia.org/wiki/%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%86%8D%EC%96%B4
14,접속사과다,0,https://ko.wikipedia.org/wiki/%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%86%8D%EC%96%B4
14,의문문사용,0,https://ko.wikipedia.org/wiki/%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%86%8D%EC%96%B4
14,감탄문사용,0,https://ko.wikipedia.org/wiki/%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%86%8D%EC%96%B4
14,POS3gram,CCONJ-NOUN-NOUN:1,https://ko.wikipedia.org/wiki/%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%86%8D%EC%96%B4
14,POS3gram,NOUN-NOUN-ADV:1,https://ko.wikipedia.org/wiki/%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%86%8D%EC%96%B4
14,POS3gram,NOUN-ADV-ADV:1,https://ko.wikipedia.org/wiki/%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%86%8D%EC%96%B4
14,의존트리깊이,0.0,https://ko.wikipedia.org/wiki/%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%86%8D%EC%96%B4
15,어휘다양성,1.0,https://ko.wikipedia.org/wiki/%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%86%8D%EC%96%B4
15,오타율,1.0,https://ko.wikipedia.org/wiki/%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%86%8D%EC%96%B4
15,수동태사용,0,https://ko.wikipedia.org/wiki/%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%86%8D%EC%96%B4
15,정중체사용,0,https://ko.wikipedia.org/wiki/%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%86%8D%EC%96%B4
15,구어체종결어미,0,https://ko.wikipedia.org/wiki/%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%86%8D%EC%96%B4
15,접속사과다,1,https://ko.wikipedia.org/wiki/%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%86%8D%EC%96%B4
15,의문문사용,0,https://ko.wikipedia.org/wiki/%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%86%8D%EC%96%B4
15,감탄문사용,0,https://ko.wikipedia.org/wiki/%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%86%8D%EC%96%B4
15,POS3gram,CCONJ-ADV-NOUN:1,https://ko.wikipedia.org/wiki/%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%86%8D%EC%96%B4
15,POS3gram,ADV-NOUN-NOUN:1,https://ko.wikipedia.org/wiki/%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%86%8D%EC%96%B4
15,POS3gram,NOUN-NOUN-SCONJ:1,https://ko.wikipedia.org/wiki/%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%86%8D%EC%96%B4
