subject,predicate,object
38,어휘다양성,1.0
38,오타율,1.0
38,수동태사용,0
38,정중체사용,0
38,구어체종결어미,0
38,접속사과다,0
38,의문문사용,0
38,감탄문사용,0
38,POS3gram,NOUN-NOUN-VERB:1
38,의존트리깊이,0.0
39,어휘다양성,1.0
39,오타율,1.0
39,수동태사용,0
39,정중체사용,0
39,구어체종결어미,0
39,접속사과다,0
39,의문문사용,0
39,감탄문사용,0
39,POS3gram,NOUN-NOUN-NOUN:1
39,의존트리깊이,0.0
40,어휘다양성,1.0
40,오타율,1.0
40,수동태사용,0
40,정중체사용,0
40,구어체종결어미,0
40,접속사과다,0
40,의문문사용,0
40,감탄문사용,0
40,POS3gram,ADV-NOUN-VERB:1
40,의존트리깊이,0.0
41,어휘다양성,1.0
41,오타율,1.0
41,수동태사용,0
41,정중체사용,0
41,구어체종결어미,0
41,접속사과다,0
41,의문문사용,0
41,감탄문사용,0
41,POS3gram,CCONJ-NOUN-NOUN:1
41,의존트리깊이,0.0
42,어휘다양성,1.0
42,오타율,1.0
42,수동태사용,0
42,정중체사용,0
42,구어체종결어미,0
42,접속사과다,0
42,의문문사용,0
42,감탄문사용,0
42,POS3gram,VERB-NOUN-VERB:1
42,의존트리깊이,0.0
43,어휘다양성,1.0
43,오타율,1.0
43,수동태사용,0
43,정중체사용,0
43,구어체종결어미,0
43,접속사과다,0
43,의문문사용,0
43,감탄문사용,0
43,POS3gram,NOUN-NOUN-VERB:1
43,의존트리깊이,0.0
44,어휘다양성,1.0
44,오타율,1.0
44,수동태사용,0
44,정중체사용,0
44,구어체종결어미,0
44,접속사과다,0
44,의문문사용,0
44,감탄문사용,0
44,POS3gram,PROPN-NOUN-NOUN:1
44,의존트리깊이,0.0
45,어휘다양성,1.0
45,오타율,1.0
45,수동태사용,0
45,정중체사용,0
45,구어체종결어미,0
45,접속사과다,0
45,의문문사용,0
45,감탄문사용,0
45,POS3gram,CCONJ-NOUN-VERB:1
45,의존트리깊이,0.0
46,어휘다양성,1.0
46,오타율,1.0
46,수동태사용,0
46,정중체사용,0
46,구어체종결어미,0
46,접속사과다,0
46,의문문사용,0
46,감탄문사용,0
46,POS3gram,ADV-NOUN-VERB:1
46,의존트리깊이,0.0
47,어휘다양성,1.0
47,오타율,1.0
47,수동태사용,0
47,정중체사용,0
47,구어체종결어미,0
47,접속사과다,0
47,의문문사용,0
47,감탄문사용,0
47,POS3gram,PROPN-NOUN-NOUN:1
47,의존트리깊이,0.0
48,어휘다양성,0.7143
48,오타율,0.7143
48,수동태사용,0
48,정중체사용,0
48,구어체종결어미,0
48,접속사과다,0
48,의문문사용,0
48,감탄문사용,0
48,POS3gram,NOUN-NOUN-NOUN:1
48,POS3gram,NOUN-NOUN-CCONJ:1
48,POS3gram,NOUN-CCONJ-NUM:1
48,의존트리깊이,0.0
49,어휘다양성,1.0
49,오타율,1.0
49,수동태사용,0
49,정중체사용,0
49,구어체종결어미,0
49,접속사과다,0
49,의문문사용,0
49,감탄문사용,0
49,POS3gram,PROPN-NOUN-VERB:1
49,의존트리깊이,0.0
50,어휘다양성,1.0
50,오타율,1.0
50,수동태사용,0
50,정중체사용,0
50,구어체종결어미,0
50,접속사과다,0
50,의문문사용,0
50,감탄문사용,0
50,POS3gram,PROPN-NOUN-NOUN:1
50,의존트리깊이,0.0
51,어휘다양성,1.0
51,오타율,1.0
51,수동태사용,0
51,정중체사용,0
51,구어체종결어미,0
51,접속사과다,0
51,의문문사용,0
51,감탄문사용,0
51,POS3gram,NOUN-NOUN-NOUN:1
51,의존트리깊이,0.0
52,어휘다양성,1.0
52,오타율,1.0
52,수동태사용,0
52,정중체사용,0
52,구어체종결어미,0
52,접속사과다,0
52,의문문사용,0
52,감탄문사용,0
52,POS3gram,CCONJ-NOUN-NOUN:1
52,의존트리깊이,0.0
53,어휘다양성,1.0
53,오타율,1.0
53,수동태사용,0
53,정중체사용,0
53,구어체종결어미,0
53,접속사과다,0
53,의문문사용,0
53,감탄문사용,0
53,POS3gram,ADV-NOUN-VERB:1
53,의존트리깊이,0.0
54,어휘다양성,1.0
54,오타율,0.75
54,수동태사용,0
54,정중체사용,0
54,구어체종결어미,0
54,접속사과다,0
54,의문문사용,0
54,감탄문사용,0
54,POS3gram,PUNCT-PROPN-PUNCT:2
54,POS3gram,NOUN-PUNCT-NOUN:1
54,POS3gram,PUNCT-NOUN-PUNCT:1
54,의존트리깊이,0.0
55,어휘다양성,1.0
55,오타율,1.0
55,수동태사용,0
55,정중체사용,0
55,구어체종결어미,0
55,접속사과다,0
55,의문문사용,0
55,감탄문사용,0
55,POS3gram,NOUN-NOUN-NOUN:1
55,POS3gram,NOUN-NOUN-ADV:1
55,POS3gram,NOUN-ADV-NUM:1
55,의존트리깊이,0.0
56,어휘다양성,0.8462
56,오타율,0.7692
56,수동태사용,0
56,정중체사용,0
56,구어체종결어미,0
56,접속사과다,1
56,의문문사용,0
56,감탄문사용,0
56,POS3gram,PUNCT-NOUN-NOUN:2
56,POS3gram,ADV-NOUN-NOUN:1
56,POS3gram,NOUN-NOUN-SCONJ:1
56,의존트리깊이,0.0
57,어휘다양성,1.0
57,오타율,0.7692
57,수동태사용,0
57,정중체사용,0
57,구어체종결어미,0
57,접속사과다,0
57,의문문사용,0
57,감탄문사용,0
57,POS3gram,VERB-NOUN-NOUN:1
57,POS3gram,NOUN-NOUN-VERB:1
57,POS3gram,NOUN-VERB-NOUN:1
57,의존트리깊이,0.0
58,어휘다양성,1.0
58,오타율,1.0
58,수동태사용,0
58,정중체사용,0
58,구어체종결어미,0
58,접속사과다,0
58,의문문사용,0
58,감탄문사용,0
58,POS3gram,ADV-VERB-NOUN:1
58,POS3gram,VERB-NOUN-VERB:1
58,POS3gram,NOUN-VERB-AUX:1
58,의존트리깊이,0.0
59,어휘다양성,0.9474
59,오타율,0.8947
59,수동태사용,0
59,정중체사용,0
59,구어체종결어미,0
59,접속사과다,0
59,의문문사용,0
59,감탄문사용,0
59,POS3gram,NOUN-VERB-NOUN:1
59,POS3gram,VERB-NOUN-NOUN:1
59,POS3gram,NOUN-NOUN-NOUN:1
59,의존트리깊이,0.0
60,어휘다양성,1.0
60,오타율,1.0
60,수동태사용,0
60,정중체사용,0
60,구어체종결어미,0
60,접속사과다,0
60,의문문사용,0
60,감탄문사용,0
60,POS3gram,NOUN-VERB-NOUN:2
60,POS3gram,NOUN-NOUN-NOUN:1
60,POS3gram,NOUN-NOUN-VERB:1
60,의존트리깊이,0.0
61,어휘다양성,0.9
61,오타율,0.8667
61,수동태사용,0
61,정중체사용,0
61,구어체종결어미,0
61,접속사과다,0
61,의문문사용,0
61,감탄문사용,0
61,POS3gram,NOUN-NOUN-ADV:2
61,POS3gram,NOUN-ADV-VERB:2
61,POS3gram,ADV-SCONJ-VERB:2
61,의존트리깊이,0.0
62,어휘다양성,1.0
62,오타율,1.0
62,수동태사용,0
62,정중체사용,0
62,구어체종결어미,0
62,접속사과다,0
62,의문문사용,0
62,감탄문사용,0
62,POS3gram,NOUN-NOUN-NOUN:2
62,POS3gram,NOUN-NOUN-VERB:1
62,POS3gram,NOUN-VERB-NOUN:1
62,의존트리깊이,0.0
63,어휘다양성,0.9565
63,오타율,0.913
63,수동태사용,0
63,정중체사용,0
63,구어체종결어미,0
63,접속사과다,0
63,의문문사용,0
63,감탄문사용,0
63,POS3gram,NOUN-VERB-NOUN:2
63,POS3gram,NOUN-NOUN-NOUN:2
63,POS3gram,ADV-VERB-NOUN:2
63,의존트리깊이,0.0
64,어휘다양성,0.9737
64,오타율,0.8421
64,수동태사용,0
64,정중체사용,0
64,구어체종결어미,0
64,접속사과다,0
64,의문문사용,0
64,감탄문사용,0
64,POS3gram,NOUN-ADV-SCONJ:2
64,POS3gram,VERB-NOUN-NOUN:2
64,POS3gram,NOUN-VERB-NOUN:2
64,의존트리깊이,0.0
65,어휘다양성,0.9259
65,오타율,0.8519
65,수동태사용,0
65,정중체사용,0
65,구어체종결어미,0
65,접속사과다,0
65,의문문사용,0
65,감탄문사용,0
65,POS3gram,NOUN-VERB-NOUN:2
65,POS3gram,NOUN-PUNCT-PROPN:2
65,POS3gram,PUNCT-PROPN-PUNCT:2
65,의존트리깊이,0.0
66,어휘다양성,1.0
66,오타율,0.7778
66,수동태사용,0
66,정중체사용,0
66,구어체종결어미,0
66,접속사과다,0
66,의문문사용,0
66,감탄문사용,0
66,POS3gram,NOUN-VERB-NOUN:1
66,POS3gram,VERB-NOUN-NOUN:1
66,POS3gram,NOUN-NOUN-PUNCT:1
66,의존트리깊이,0.0
